199.16,26.834
296.56,219.74
259.7,178.74
280.88,187.84
219.19,166.54
261.54,132.17
281.92,83.555
314.42,169.41
248.9,30.097
202.93,37.841
199.34,5.0598
272.57,246.86
293.91,248.42
280.47,31.708
236.2,119.66
313.19,168.11
258.58,74.288
314.09,193.16
201.42,142.88
218.5,109.51
291.2,68.402
309.02,192.96
292.17,229.98
229.83,186.48
211.44,104.15
300.53,240.21
292.46,65.389
226.67,136.49
221.16,244.42
233.09,68.543
298.18,64.022
297.24,237.48
265.05,17.557
265.19,76.646
228.61,151.45
281.49,52.045
293.92,162.79
248.52,204.38
249.12,128.44
251.6,166.61
227.72,203.76
278.45,59.744
307.67,153.81
308.29,28.79
287.64,132.04
225.35,214.49
280.27,235.72
208.87,127.55
207.81,71.068
216.44,167.05
210.65,234.83
266.89,130.52
201.39,249.39
297.26,50.503
284.53,28.463
310.51,76.123
255.06,101.48
275.83,107.71
305.94,79.738
260.93,177.62
228.12,23.519
316.92,102.93
196.66,75.566
233.76,78.463
316.55,27.024
238.72,152.02
231.57,72.378
207.48,39.737
309.22,0.16862
209.34,72.6
234.51,141.01
306.88,222.95
255.96,10.817
270.76,231.61
266.64,33.529
281.38,213.43
195.75,204.92
259.57,234.98
196.11,35.15
297.87,129.21
235.52,103.67
300.38,44.434
223.5,147.25
266.43,155.19
312.02,54.898
198.12,133.1
198.91,253.23
194.64,125.42
279.23,177.89
268.62,105.32
206.6,8.9028
293.92,74.965
271.08,205.17
200.99,88.705
200.87,21.329
209.41,130.84
292.98,93.909
203.83,189.31
222.45,134.33
223.19,205.96
